Exam,Anxiety,Preparation
15.9884685,2.57,4.22
66.05193281,4.33,4.42
71.90664107,4.27,4.55
36.95164353,4.38,4.23
54.91658674,3.89,4.06
55.00858949,3.99,4.25
50.6561081,4.39,3.6
27.03259134,3.19,3.48
52.57389605,4.66,4.31
72.33859479,4.59,5.16
71.01358599,4.8,3.63
48.30775226,5.69,3.4
59.14159149,4.95,4.63
47.32980007,2.88,2.9
23.2527516,3.45,3.41
7.565400354,3.3,3.94
41.44341558,3.83,3.29
44.52538856,3.67,3.47
57.58956883,4.1,4.8
20.53494117,2.84,3.79
57.4250408,4.12,4.29
38.40072701,3.62,3.57
80.82725326,5.38,3.99
63.85147263,5.26,3.41
76.38231271,5.09,4.19
58.94713791,3.83,5.17
76.44631602,4.92,4.7
50.05469831,3.59,3.75
13.42066754,3.45,3.89
73.72866141,4.99,4.27
22.31779741,3.82,2.87
58.52715193,3.72,5.35
56.32997477,3.7,3.5
43.85403745,4.21,3.65
35.31473131,4.51,2.83
55.48113221,4.49,3.98
73.80053264,4.58,3.76
44.66110457,3.84,3.57
66.98660708,5.56,3.49
44.22045718,3.72,4.83
43.90717131,3.69,4.83
39.65035629,3.41,4.22
44.74619577,5.25,3.64
64.37216072,3.91,4.29
57.75469153,4.95,3.84
20.81145336,3.94,3.49
47.75170649,3.68,4.55
38.76267866,3.91,3.22
25.42500174,4.14,3.43
83.7736522,4.9,3.76
25.21213577,3.55,3.36
33.73848446,4.62,3.17
33.29265438,2.86,2.87
64.55421808,4.1,4.23
42.83466071,3.75,3.97
37.80506671,3.44,3.07
40.11186961,4.12,4.22
37.65014924,3.22,1.78
67.16171604,4.8,4.19
37.12710849,3.24,3.68
46.46142292,3.53,3.33
44.2860844,3.08,3.42
31.89984326,4.16,2.75
96.61341024,5.52,5.25
36.02989263,4.69,2.92
57.12496066,3.04,3.19
38.75747086,3.26,3.13
66.12495857,4.98,4.19
43.11961515,4.32,3.46
36.68875051,3.13,4.77
28.64242429,4.22,2.79
33.99913309,3.12,3.46
42.01289396,4.54,1.9
57.17163347,4.69,4.32
32.92406297,3.58,3.95
14.66020679,3.46,2.76
91.01343396,5.32,5.08
63.74625398,4.5,4.29
38.82699187,3.37,4.33
55.62017769,4.94,3.88
63.69722564,4.96,3.75
35.34485977,5.21,2.79
74.40447931,6.03,4.67
24.44727783,3.99,3.05
30.03992827,3.1,3.73
63.29600167,4.37,3.94
63.15110435,3.79,5.22
76.95916163,6,4.22
70.84724806,4.01,4.62
38.97505273,4.34,3.79
34.16641136,3.88,3.04
31.35217302,3.37,4.06
43.33326679,4,3.07
39.39207336,4.97,3.66
87.76834014,5.33,4.32
84.80074678,5.02,4.48
76.40971507,5.16,3.86
21.40123377,2.25,3.94
73.87287661,5.03,3.65
60.04707332,4.26,4.13
46.2544064,3.27,3.42
52.81466232,4.43,3.52
40.37921334,3.37,3.55
42.42496771,5.06,4.13
34.69169912,3.41,4.14
42.19490208,2.69,4.53
42.02246348,4,2.99
26.46726664,3.34,4.32
46.08030794,4.5,4.05
34.96027805,4.44,2.57
77.83393101,4.4,3.8
41.66966605,3.77,3.74
30.84664767,3.45,3.58
36.80493048,5.64,3.15
17.05724175,3.41,3.84
80.05747493,4.73,4.49
37.66751821,4.12,3.62
80.67770306,5.05,3.74
58.99563271,4.02,5.62
57.95018314,5.76,4.57
81.65345735,4.57,3.84
11.95577957,2.63,2.35
72.32890126,5.74,4.16
56.96334566,4.97,3.35
55.96402543,4.6,3.91
27.06671554,3.47,4.64
29.81144714,3.48,5.04
73.44206143,4.1,4.76
39.14044598,3.57,4.76
52.95369017,3.81,3.62
54.53073791,3.61,2.7
46.69780618,4.37,4.09
50.06765679,5.37,3.17
16.01604052,3.52,3.58
55.93241032,2.93,4.33
45.32636499,4.2,4.22
42.84034025,3.66,4.49
15.91099631,2.99,3.5
48.98473336,3.68,3.43
57.74359869,3.16,4.62
48.01594465,3.89,3.74
29.00358642,3.39,2.9
55.2371892,5.1,4.67
63.22328339,4.48,2.97
38.32304119,2.82,3.75
37.1480421,3.19,4.19
66.94839534,4.36,3.83
53.96166167,3.65,3.26
9.927238594,1.7,3.24
24.81941514,3.79,3.06
69.21076665,4.88,3.62
63.11766344,4.29,4.16
37.81003376,3.84,3.6
94.00132808,4.16,4.65
3.825405177,3.19,3.31
68.88869433,4.58,5.03
72.47302313,4.5,4.24
69.56468071,5.09,2.96
60.28119696,4.28,3.52
64.16920653,4.38,4.76
52.80224714,3.65,3.97
77.46669898,5.53,3.9
29.23017262,3.24,2.38
24.20419942,2.98,4.22
60.17410363,4.17,3.37
44.13481598,3.59,4.85
71.91633441,4.72,5.34
51.21889962,4.51,3.17
48.58773577,4.21,3.58
14.21705709,3.58,3.13
34.09092318,3.3,4.14
67.42200733,5.15,3.51
75.83251604,5.51,3.28
0.293445037,1.78,4.04
50.80135836,4.19,4.7
25.11192891,4.01,4.51
61.16268099,4.41,3.42
65.66779141,4.84,4.31
58.91983867,3.97,4.13
41.47165957,4.53,3.13
68.10162626,4.91,4.22
90.16578244,5.29,4.72
50.63620668,3.82,4.96
50.51332624,3.42,4.08
44.23173954,3.14,4.16
31.30971759,4.11,3.89
35.15792735,3.2,2.87
12.20047821,3.65,3.59
44.81540175,4.52,3.14
22.92158487,2.7,4.03
114.949817,5.77,5.8
44.12009815,3.5,3.88
49.7987004,4.65,3.79
19.53495971,2.19,3.58
58.57999078,4.31,4.27
22.25911878,3.29,3.17
56.78058415,4.42,4.91
47.13686359,5.06,3.71
21.73022589,3.26,4.36
48.76533492,4.43,3.92
30.00679188,2.81,3.78
22.73546718,3.41,4.17
42.54299745,3.8,2.78
32.44329698,3.47,3.86
59.71475139,4.33,4.2
48.74679556,3.68,4.42
55.43641066,4.79,3.87
16.38738715,3.46,3.68
36.80148961,3.97,4.83
20.63585599,4.02,4.09
42.01167014,2.53,3.76
49.20115716,4.06,4.4
72.37455312,4.44,3.41
47.23934628,4.8,4.24
74.87259128,4.86,3.61
56.46185702,4.84,2.48
32.71480166,3.36,4.42
66.03871137,4.82,3.67
38.14412321,3.41,2.45
87.87115249,5.43,5.29
68.27407711,4.23,3.79
60.10591366,4.78,4.2
93.7797762,5.03,4.42
40.87440333,4.55,3.74
80.48033039,4.55,4.73
33.43792519,3.4,3.92
51.6076774,4.53,3.08
67.65261135,4.84,4.55
41.74450687,3.5,4.31
41.33354675,3.52,4.09
47.52820986,4.2,2.31
49.24772889,4.11,3.77
84.5979018,4.36,5.45
45.50096316,3.61,4.16
42.47304269,4.04,2.89
37.30874907,4.11,2.52
45.39493287,3.9,4.35
72.84778437,5.09,4.36
80.03338594,4.55,5.03
71.28831442,4.55,4.41
45.94458415,3.29,3.25
74.50104705,4.22,4.2
63.80720167,4.54,4.21
40.68951557,3.79,3.04
74.90374419,3.86,5.3
43.78625274,4.47,2.85
52.19570489,4.81,4.21
37.1673203,4.19,3.5
25.09264078,2.86,4.3
29.34177082,3.65,4.33
88.06675683,5.31,4.18
40.54887721,3.94,3.91
71.693095,4.14,4.84
100.9298529,4.51,5.57
40.87640313,3.74,4.06
48.16650386,4.11,3.2
35.46051393,3.99,3.16
109.9187374,4.73,5.38
23.19346502,4.01,2.36
68.5620735,3.64,5.71
51.58241785,3.66,3.63
32.3661401,2.24,2.71
39.56454405,2.7,3.4
78.36148083,4.81,4.83
58.56940471,4.14,4.03
45.06285297,5.13,3.17
92.06173166,5.57,4.91
78.90770267,5.46,4.81
87.82109847,4.08,4.53
60.89614344,4.56,3.5
49.76628799,4.35,2.51
53.91212474,5.59,4.41
42.05890041,4.82,3.65
28.89776845,3.9,3.06
43.18120103,4.5,3.36
21.41280922,2.84,2.92
58.25276807,4.3,3.69
22.45258826,2.51,3.34
76.22595051,5.12,5.03
61.12455756,4.35,3.27
23.5083313,4.16,3.6
37.40747203,3.29,3.99
73.46873041,4.33,4.95
77.82081928,4.91,4.19
56.91957848,5.35,3.26
38.07124116,3.69,3.82
33.31501844,3.35,3.31
36.71237783,3.28,4.73
50.27597521,4.26,4.23
19.82659882,3.4,3.21
42.33071097,3.9,3.62
34.17211198,3.08,3.13
41.72080889,3.94,4.01
32.31349726,3.73,4.03
29.20396569,3.77,4.36
37.96575543,3.57,4
96.23378025,5.37,4.43
55.08665078,5.04,3.73
67.33773308,5.05,4.75
73.9652086,3.73,3.53
33.30353198,4.39,4.11
65.53000371,4.35,4.97
56.30896615,3.6,4.86
23.96185562,3.14,2.55
74.47576349,4.18,4.99
33.64159692,2.54,2.62
41.30101533,3.55,3.74
63.95009142,5.3,4.61
63.7230031,4.69,4.03
62.55158401,4.4,5.12
38.15289367,4.16,3.65
50.51808993,3.86,4.24
44.51420186,3.43,3.53
75.47956947,5.7,4.08
55.16527184,3.52,4.58
8.348294079,4.11,2.48
65.20234058,4.52,3.95
46.33333369,4.65,3.45
81.30800804,5.2,4.78
56.76087577,3.71,3.83
48.144058,4.36,3.17
48.43815302,3.83,4.12
16.95738031,4.4,3.23
28.63248006,3.54,4.12
62.37427337,4.31,3.97
67.99974559,5.42,4.95
41.70952811,4.08,3.14
42.62616283,3.43,3.78
52.95190018,4.58,3.92
53.92013365,5.35,3.58
19.73877432,3.3,3.67
46.95930804,3.4,4.7
33.94854749,4.62,3.77
52.50472456,4.76,4.21
38.93573444,3.36,4.16
16.19348168,2.69,3.32
66.35162936,4.26,5.63
75.58246803,4.49,4.87
35.54360623,2.9,4.9
40.18974691,3.31,4.02
42.54021174,2.52,2.52
48.67468942,3.89,4.34
75.34863688,5.44,4.07
11.89054893,3.61,2.73
39.36908398,3.55,3.49
35.39011272,3.6,4.19
25.37590059,3.45,3.82
40.05984377,2.72,3.56
51.08634001,3.85,4.59
34.31424266,2.38,3.13
29.8086884,4.35,2.55
25.92581735,4,4.57
47.02244772,3.37,5.03
60.44857344,3.9,4.24
76.84185227,4.43,3.16
45.4103464,3.28,3.41
61.01490221,4.2,3.61
36.02266848,3.75,3.71
105.6775495,6.16,5.11
45.96193222,3.95,4.4
64.10747807,4.41,4.37
43.19425041,4.89,3.53
18.43775636,2.34,3.19
9.751540891,2.53,4.08
61.65855125,4.16,5.07
56.06010964,4.27,3.73
25.72557088,2.51,3.24
61.79846313,4.62,4.98
38.84319153,3.69,3.61
20.67371477,3.43,3.9
27.88322453,2.92,3.4
11.69257864,3.12,3.25
53.15054612,4.25,4.05
76.01161891,4.07,4.64
28.65839015,2.13,3.25
51.81068925,3.31,3.23
60.48837279,4.49,2.85
40.47315351,4.07,3.3
83.67078883,5.29,4.76
34.81261936,5.36,3.02
74.03397179,4.14,5.4
41.99323752,4.73,3.13
53.58184219,3.92,3.33
22.74763359,3.52,4.46
61.41141206,4.72,2.93
69.04398954,4.94,4.93
87.355684,5.24,4.2
47.10819464,3.94,3.89
28.39589227,3.2,3.78
61.54112456,4.91,3.41
58.12258978,4.84,3.73
45.75348818,5.4,2.78
25.88945075,3.65,2.87
72.8316896,3.63,4.22
43.01597293,4.15,4.29
82.54187255,4.65,5.54
48.24936375,4.13,3.95
36.39012886,3.92,4.05
21.73904208,3.45,3.51
25.12488866,3.84,3.44
28.04919775,3.62,4.18
65.43733212,5.23,5.1
93.2672932,5.45,4.96
40.11222062,3.91,3.38
59.64767491,3.36,3.47
37.61205432,2.86,3.58
73.66087888,4.08,4.48
40.65015593,3.34,3.2
95.48908728,5.87,4.48
45.91229508,3.49,3.85
39.90443452,3.51,4.5
117.13589,6.08,5.48
35.77158131,3.39,3.29
66.06126994,4.63,3.57
20.2216918,2.9,3.19
68.25378365,5.1,3.28
38.87018252,3.99,3.21
